13:50:04.052365 T001 24.5 
13:50:06.000271 M017 OFF 
13:50:06.005215 M019 OFF 
13:50:06.015496 M027 ON 
13:50:06.018092 M021 OFF 
13:50:06.020636 M024 OFF 
13:50:06.023127 M018 OFF 
13:50:07.008111 M028 ON 
13:50:07.010676 M043 ON 
13:50:07.001316 M042 ON 
13:50:08.054007 M028 OFF 
13:50:08.056508 M027 OFF 
13:50:09.001702 M043 OFF 
13:50:09.081025 M042 OFF 
13:50:11.079214 P001 2172 
13:50:14.076895 M010 ON 
13:50:15.099735 M010 OFF 
13:50:17.008832 M042 ON 
13:50:18.069178 M028 ON 
13:50:18.007175 M043 ON 
13:50:19.009415 M027 ON 
13:50:20.058106 M042 OFF 
13:50:21.000211 M043 OFF 
13:50:22.068081 M010 ON 
13:50:23.028632 M028 OFF 
13:50:24.031356 M027 OFF 
13:50:24.094328 M010 OFF 
13:50:25.057228 M026 ON 
13:50:27.089113 M013 ON 
13:50:28.048111 M025 ON 
13:50:29.053157 M024 ON 
13:50:30.000377 M021 ON 
13:50:30.040274 M013 OFF 
13:50:31.045032 M019 ON 
13:50:31.047597 M013 ON 
13:50:31.050087 M026 OFF 
13:50:32.005642 M017 ON 
13:50:32.058994 M025 OFF 
13:50:32.061478 M018 ON 
13:50:33.036352 M021 OFF 
13:50:33.003893 M024 OFF 
13:50:34.017432 M019 OFF 
13:50:35.021223 M018 OFF 
13:50:37.047129 M017 OFF 
13:50:40.044053 I006 PRESENT 
13:50:41.089861 M017 ON 
13:50:42.054174 M013 OFF 
13:50:44.043086 M017 OFF 
13:50:47.096079 M017 ON 
13:50:49.001058 M018 ON 
13:50:49.061737 M019 ON 
13:50:51.012097 M021 ON 
13:50:51.076084 M022 ON 
13:50:52.080683 M018 OFF 
13:50:53.086474 M001 ON 
13:50:53.089004 M017 OFF 
13:50:53.091553 M023 ON 
13:50:54.007091 M019 OFF 
13:50:54.007345 M021 OFF 
13:50:55.052992 M022 OFF 
13:50:55.055545 M013 ON 
13:50:56.014049 M001 OFF 
13:50:57.098788 M023 OFF 
13:51:04.004451 M013 OFF 
13:51:06.075097 M005 ON 
13:51:07.081187 M005 OFF 
13:51:11.034912 M010 ON 
13:51:12.041063 M023 ON 
13:51:13.039609 M001 ON 
13:51:14.002313 M010 OFF 
13:51:15.089696 M010 ON 
13:51:17.055218 M022 ON 
13:51:18.018077 M001 OFF 
13:51:18.078365 M021 ON 
13:51:19.041153 M023 OFF 
13:51:20.025702 M024 ON 
13:51:20.002827 M010 OFF 
13:51:20.089827 M022 OFF 
13:51:21.053992 M010 ON 
13:51:22.062092 M021 OFF 
13:51:24.082572 P001 2087 
13:51:24.009696 M024 OFF 
13:51:26.064753 M013 ON 
13:51:27.028301 M011 ON 
13:51:29.081649 M024 ON 
13:51:29.084164 M025 ON 
13:51:30.044944 M012 ON 
13:51:31.008988 M010 OFF 
13:51:31.096021 M011 OFF 
13:51:31.098588 M024 OFF 
13:51:32.099324 M024 ON 
13:51:33.061758 M021 ON 
13:51:34.025106 M019 ON 
13:51:35.047997 M014 ON 
13:51:35.050578 M018 ON 
13:51:36.050886 M017 ON 
13:51:36.053454 M021 OFF 
13:51:36.005594 M025 OFF 
13:51:37.076942 M012 OFF 
13:51:37.079625 M011 ON 
13:51:37.082113 M005 ON 
13:51:37.084657 M024 OFF 
13:51:39.006682 M012 ON 
13:51:39.009209 M011 OFF 
