09:30:14.284021 LS029 10 
09:30:37.65296 MA207 ON 
09:30:38.79062 MA207 OFF 
09:30:39.84395 LS005 27 
09:30:54.851283 LS034 2 
09:31:07.163887 LS206 14 
09:31:09.434474 LS048 12 
09:31:09.689707 LS010 23 
09:31:09.726501 M010 ON 
09:31:10.855375 M010 OFF 
09:31:15.176641 MA207 ON 
09:31:16.298359 LS010 22 
09:31:16.339743 M010 ON 
09:31:16.369829 MA207 OFF 
09:31:17.385791 LS010 23 
09:31:17.421182 M010 OFF 
09:31:23.540889 LS011 24 
09:31:39.579643 MA207 ON 
09:31:40.648885 LS207 54 
09:31:40.676638 MA207 OFF 
09:32:00.73641 MA207 ON 
09:32:03.789664 LS010 21 
09:32:03.804324 M010 ON 
09:32:04.842213 M010 OFF 
09:32:06.364327 MA207 OFF 
09:32:13.710034 LS051 25 
09:32:15.358922 MA207 ON 
09:32:16.503856 MA207 OFF 
09:32:19.680565 LS009 6 
09:32:21.001168 MA207 ON 
09:32:23.783662 MA207 OFF 
09:32:24.453802 MA207 ON 
09:32:28.500606 MA207 OFF 
09:32:30.205054 MA207 ON 
09:32:34.128688 MA207 OFF 
09:32:35.619463 MA207 ON 
09:32:36.190021 LS011 23 
09:32:36.206917 M011 ON 
09:32:37.093238 M010 ON 
09:32:37.347003 M011 OFF 
09:32:39.576308 M011 ON 
09:32:39.708387 M010 OFF 
09:32:40.718796 M011 OFF 
09:32:41.262478 M011 ON 
09:32:42.387887 M011 OFF 
09:32:42.926885 LS207 55 
09:32:42.940531 MA207 OFF 
09:32:43.012576 LS013 12 
09:32:43.028866 M013 ON 
09:32:43.291337 LS012 25 
09:32:43.322159 M012 ON 
09:32:44.13706 M013 OFF 
09:32:44.336269 M012 OFF 
09:32:44.912205 M012 ON 
09:32:45.702884 LS016 16 
09:32:46.959532 M012 OFF 
09:32:47.713041 M012 ON 
09:32:48.138882 MA201 ON 
09:32:48.642507 M013 ON 
09:32:49.977232 M012 OFF 
09:32:50.371465 M013 OFF 
09:32:50.913461 M015 ON 
09:32:51.792456 MA201 OFF 
09:32:53.163603 M015 OFF 
09:32:54.342275 LS207 54 
09:32:54.356902 MA207 ON 
09:32:56.969139 MA207 OFF 
09:32:59.589721 M008 ON 
09:32:59.919969 M015 ON 
09:33:00.695465 LS008 13 
09:33:00.732982 M008 OFF 
09:33:01.278603 M008 ON 
09:33:01.800303 M015 OFF 
09:33:03.327675 M008 OFF 
09:33:04.268641 M008 ON 
09:33:05.968661 M008 OFF 
09:33:07.822211 M008 ON 
09:33:08.636437 LS201 56 
09:33:08.669324 MA201 ON 
09:33:11.36787 LS008 14 
09:33:11.410907 M008 OFF 
09:33:11.497979 M001 ON 
09:33:12.208966 M002 ON 
09:33:12.616077 M001 OFF 
09:33:12.729439 M023 ON 
09:33:12.97678 LS201 55 
09:33:13.003944 MA201 OFF 
09:33:13.325813 M002 OFF 
09:33:13.550713 M001 ON 
09:33:15.719093 M023 OFF 
09:33:16.679743 M023 ON 
09:33:17.789616 M023 OFF 
09:33:19.468038 M023 ON 
09:33:19.716667 LS201 56 
09:33:19.733956 MA201 ON 
09:33:20.799541 LS203 29 
09:33:20.879869 MA203 ON 
09:33:20.907478 LS201 55 
09:33:20.929129 MA201 OFF 
09:33:21.834637 M001 OFF 
09:33:21.952632 M021 ON 
09:33:22.046974 M023 OFF 
09:33:22.077332 MA207 ON 
09:33:22.789977 M024 ON 
09:33:23.040326 MA207 OFF 
09:33:23.586149 M021 OFF 
09:33:23.93069 M024 OFF 
09:33:25.073388 LS203 30 
09:33:25.104599 MA203 OFF 
09:33:28.464376 MA207 ON 
09:33:30.187044 MA207 OFF 
09:33:30.809153 MA207 ON 
09:33:31.418137 M043 ON 
09:33:31.846835 MA207 OFF 
09:33:32.113794 M042 ON 
09:33:32.555539 M043 OFF 
09:33:33.570391 D018 CLOSE 
09:33:34.164346 LS042 0 
09:33:34.18469 M042 OFF 
09:33:35.603797 MA207 ON 
09:33:37.290293 MA207 OFF 
09:33:38.218869 MA207 ON 
09:33:39.345382 MA207 OFF 
09:33:39.92333 MA207 ON 
09:33:46.672781 MA207 OFF 
09:33:50.429894 MA207 ON 
09:33:54.909871 MA207 OFF 
09:34:02.32218 LS205 23 
09:34:03.331379 MA207 ON 
09:34:07.854471 MA207 OFF 
09:34:08.120057 LS037 7 
09:34:10.011661 M013 ON 
09:34:11.144141 M013 OFF 
09:34:14.977746 MA207 ON 
09:34:16.111497 MA207 OFF 
09:34:20.043573 MA207 ON 
09:34:22.84871 MA207 OFF 
09:34:23.943822 LS207 55 
09:34:23.963979 MA207 ON 
09:34:25.993436 LS207 54 
09:34:26.031116 MA207 OFF 
09:34:36.887053 LS207 55 
09:34:36.90432 MA207 ON 
09:34:38.033603 MA207 OFF 
09:34:40.820591 MA207 ON 
09:34:41.960638 MA207 OFF 
09:34:42.703678 M013 ON 
09:34:43.907476 MA201 ON 
09:34:46.000542 M013 OFF 
09:34:46.542554 LS015 15 
09:34:46.553306 M015 ON 
09:34:46.747009 M008 ON 
09:34:46.79066 LS201 56 
09:34:46.803982 MA201 OFF 
09:34:47.294169 MA201 ON 
09:34:47.613552 M001 ON 
09:34:47.659797 M015 OFF 
09:34:48.388173 M002 ON 
09:34:48.606185 M001 OFF 
09:34:48.880349 M008 OFF 
09:34:50.074809 M002 OFF 
09:34:50.27187 LS201 55 
09:34:50.29571 MA201 OFF 
09:34:54.916962 M002 ON 
09:34:55.173266 MA207 ON 
09:34:56.041706 M002 OFF 
09:34:56.212265 MA207 OFF 
09:34:59.813737 M002 ON 
09:35:00.934444 M002 OFF 
09:35:02.234992 M002 ON 
09:35:04.103985 M002 OFF 
09:35:04.26868 MA207 ON 
09:35:05.401412 MA207 OFF 
09:35:06.75891 M002 ON 
09:35:08.427601 M002 OFF 
09:35:12.378837 M002 ON 
09:35:14.059236 M002 OFF 
09:35:15.879762 MA207 ON 
09:35:17.794763 MA207 OFF 
09:35:17.870719 M002 ON 
09:35:19.257907 M002 OFF 
09:35:23.042023 M002 ON 
09:35:24.741562 M002 OFF 
09:35:27.380002 M002 ON 
09:35:29.216133 MA207 ON 
09:35:30.32853 MA207 OFF 
09:35:30.4566 M002 OFF 
09:35:31.492865 M002 ON 
09:35:32.61384 M002 OFF 
09:35:44.427146 M002 ON 
09:35:46.677707 M002 OFF 
09:35:48.138705 MA207 ON 
09:35:49.266346 MA207 OFF 
09:35:53.823261 M002 ON 
09:35:54.942417 M002 OFF 
09:35:55.502487 M002 ON 
09:35:55.706038 LS201 56 
09:35:55.729834 MA201 ON 
09:35:56.472609 M001 ON 
09:35:57.687861 M008 ON 
09:35:57.751824 M002 OFF 
09:35:58.21063 M015 ON 
09:35:58.35072 M001 OFF 
09:35:59.079908 M016 ON 
09:35:59.640939 M008 OFF 
09:35:59.678459 MA202 ON 
09:35:59.863996 MA201 OFF 
09:36:00.13714 M017 ON 
09:36:00.271725 M015 OFF 
09:36:01.321917 M016 OFF 
09:36:02.345589 LS051 24 
09:36:02.370031 M051 ON 1-start
09:36:02.441717 SS002 MOVED 1.1
09:36:02.44878 M017 OFF 
09:36:02.964929 D011 OPEN 
09:36:03.880885 MA207 ON 
09:36:05.759905 MA207 OFF 
09:36:06.269795 LS051 16 
09:36:06.291779 M051 OFF 
09:36:06.52521 LS202 53 
09:36:06.562047 MA202 OFF 
09:36:07.022054 LS051 17 
09:36:07.04567 M051 ON 
09:36:08.139587 LS051 18 
09:36:08.157834 M051 OFF 
09:36:08.757154 MA202 ON 
09:36:08.84141 SS003 MOVED 1.3
09:36:09.279472 LS051 20 
09:36:09.298615 M051 ON 
09:36:09.881388 MA202 OFF 
09:36:10.425002 LS202 54 
09:36:10.457251 MA202 ON 
09:36:10.781518 D011 CLOSE 
09:36:11.573166 MA202 OFF 
09:36:12.559475 MA202 ON 
09:36:13.73102 MA202 OFF 
09:36:15.125192 MA202 ON 
09:36:16.080642 MA207 ON 
09:36:16.264819 MA202 OFF 
09:36:17.210614 MA207 OFF 
09:36:18.890433 MA202 ON 
09:36:19.41468 LS051 24 
09:36:19.424264 M051 OFF 
09:36:20.15419 M051 ON 
09:36:21.139436 MA202 OFF 
09:36:21.291303 M051 OFF 
09:36:22.046851 M051 ON 
09:36:23.181582 MA202 ON 
09:36:24.300621 M051 OFF 
09:36:25.072506 MA202 OFF 
09:36:25.643681 MA202 ON 
09:36:27.453423 M051 ON 
09:36:27.53826 MA202 OFF 
09:36:28.082508 MA202 ON 
09:36:28.603266 M051 OFF 
09:36:29.580802 MA207 ON 
09:36:30.512057 MA202 OFF 
09:36:31.259084 MA202 ON 
09:36:31.460752 MA207 OFF 
09:36:31.993036 M017 ON 1.4
09:36:34.647603 MA202 OFF 
09:36:34.990574 M017 OFF 
09:36:35.390425 MA207 ON 
09:36:36.351547 MA202 ON 
09:36:36.519852 MA207 OFF 
09:36:37.427855 M017 ON 1.4
09:36:38.56231 M017 OFF 
09:36:39.122494 M017 ON 1.4
09:36:40.837072 MA202 OFF 
09:36:41.38869 MA202 ON 
09:36:42.521476 MA202 OFF 
09:36:43.231514 MA202 ON 
09:36:44.823523 M016 ON 1.4
09:36:45.508146 MA202 OFF 
09:36:45.683033 M017 OFF 
09:36:50.454048 M016 OFF 
09:36:50.929464 M017 ON 1.4
09:36:52.61985 LS022 5 
09:36:52.700524 MA207 ON 
09:36:52.836059 MA202 ON 
09:36:53.94334 MA202 OFF 
09:36:54.956019 MA207 OFF 
09:36:55.999005 MA202 ON 
09:36:58.091502 MA202 OFF 
09:36:58.645088 MA202 ON 
09:36:59.756918 MA202 OFF 
09:37:00.507732 MA202 ON 
09:37:01.050066 M017 OFF 
09:37:01.628375 M017 ON 1.4
09:37:02.746873 M017 OFF 
09:37:05.54266 M051 ON 
09:37:06.322177 MA202 OFF 
09:37:07.063814 MA202 ON 
09:37:07.408005 M051 OFF 
09:37:08.377647 M017 ON 1.4
09:37:09.587221 M016 ON 
09:37:10.381891 M015 ON 
09:37:10.621864 M017 OFF 
09:37:10.853446 MA202 OFF 
09:37:10.989509 MA201 ON 
09:37:11.63101 M016 OFF 
09:37:11.782676 SS002 STILL 
09:37:12.440858 LS015 14 
09:37:12.455636 M015 OFF 
09:37:13.15301 M013 ON 1.7
09:37:13.262727 MA201 OFF 
09:37:14.257179 LS201 55 
09:37:14.279434 MA201 ON 
09:37:16.326562 LS201 56 
09:37:16.341976 MA201 OFF 
09:37:16.751989 M013 OFF 
09:37:17.745652 M010 ON 1.7
09:37:18.864012 M010 OFF 
09:37:20.113523 M013 ON 1.7
09:37:20.507091 M012 ON 1.7
09:37:21.167956 M011 ON 1.7
09:37:22.188055 LS201 55 
09:37:22.202883 MA201 ON 
09:37:22.224596 LS013 11 
09:37:22.243163 M013 OFF 
09:37:23.121588 M012 OFF 
09:37:23.267512 MA201 OFF 
09:37:24.367349 M011 OFF 
09:37:25.479046 M011 ON 1.7
09:37:27.449501 M012 ON 1.7
09:37:28.700615 MA201 ON 
09:37:29.70201 M013 ON 1.7
09:37:29.792749 LS201 56 
09:37:29.92099 MA201 OFF 
09:37:30.061099 M011 OFF 
09:37:30.467528 M012 OFF 
09:37:30.78805 D011 OPEN 
09:37:32.85831 M012 ON 1.7
09:37:33.991073 M012 OFF 
09:37:35.684416 LS013 12 
09:37:35.697125 M013 OFF 
09:37:37.122103 LS201 55 
09:37:37.146378 MA201 ON 
09:37:37.647798 MA207 ON 
09:37:38.251836 LS201 56 
09:37:38.267251 MA201 OFF 
09:37:38.761396 MA207 OFF 
09:37:39.941078 T101 24 
09:37:40.568234 LS015 15 
09:37:40.626857 M015 ON 1.7
09:37:40.7247 M008 ON 1.6
09:37:40.75591 MA201 ON 
09:37:42.254521 M015 OFF 
09:37:43.259112 M008 OFF 
09:37:43.494126 BATV002 9040 
09:37:43.519346 M002 ON 1.6
09:37:44.70317 M003 ON 1.6
09:37:45.018858 MA201 OFF 
09:37:45.17934 M002 OFF 
09:37:46.067172 MA207 ON 
09:37:47.17999 MA207 OFF 
09:37:47.383954 M003 OFF 
09:37:48.139234 MA207 ON 
09:37:49.26103 MA207 OFF 
09:37:50.062022 M003 ON 1.6
09:37:50.098772 LS201 55 
09:37:50.121828 MA201 ON 
09:37:53.193851 M003 OFF 
09:37:53.982361 MA201 OFF 
09:37:54.580606 MA201 ON 
09:37:56.174154 MA207 ON 
09:37:57.926455 MA207 OFF 
09:37:57.983204 LS201 56 
09:37:58.01096 MA201 OFF 
09:37:58.814337 M003 ON 1.6
09:37:59.089331 MA201 ON 
09:38:00.200709 MA201 OFF 
09:38:00.739182 M002 ON 1.6
09:38:00.924929 LS201 55 
09:38:00.944362 MA201 ON 
09:38:02.018719 M003 OFF 
09:38:02.09132 LS201 56 
09:38:02.106662 MA201 OFF 
09:38:03.010503 LS201 55 
09:38:03.027128 MA201 ON 
09:38:04.889301 MA201 OFF 
09:38:05.055901 M002 OFF 
09:38:06.178793 M002 ON 1.6
09:38:06.566985 LS201 56 
09:38:06.577289 MA201 ON 
09:38:07.362522 M002 OFF 
09:38:08.040766 M002 ON 1.6
09:38:08.265911 M001 ON 1.6
09:38:08.764356 M008 ON 1.6
09:38:09.160871 M002 OFF 
09:38:10.18955 M015 ON 
09:38:10.332736 M001 OFF 
09:38:10.88254 M016 ON 
09:38:11.270492 LS201 55 
09:38:11.309755 MA201 OFF 
09:38:11.385859 M008 OFF 
09:38:11.742415 MA202 ON 
09:38:12.112682 M017 ON 
09:38:12.447629 M015 OFF 
09:38:13.12012 M016 OFF 
09:38:13.983696 M017 OFF 
09:38:14.141637 SS002 MOVED 
09:38:14.149815 LS051 25 
09:38:14.159807 M051 ON 
09:38:15.831488 LS032 0 
09:38:18.291742 LS202 53 
09:38:18.32198 MA202 OFF 
09:38:18.450743 LS051 18 
09:38:18.470053 M051 OFF 
09:38:18.870062 MA207 ON 
09:38:19.582248 LS051 19 
09:38:19.592666 M051 ON 
09:38:19.818098 MA202 ON 
09:38:20.011882 MA207 OFF 
09:38:20.70005 LS051 18 
09:38:20.714378 M051 OFF 
09:38:21.210125 D011 CLOSE 
09:38:21.440089 LS051 25 
09:38:21.460758 M051 ON 
09:38:21.951612 SS002 STILL 1.8
09:38:22.992112 M017 ON 
09:38:23.348408 M051 OFF 
09:38:23.610754 SS003 STILL 1.9,1-end
09:38:24.390236 M016 ON 
09:38:25.189845 M015 ON 
09:38:25.413157 LS202 54 
09:38:25.484495 MA202 OFF 
09:38:25.517571 M017 OFF 
09:38:25.696386 LS201 56 
09:38:25.720048 MA201 ON 
09:38:26.559834 MA207 ON 
09:38:26.651973 M016 OFF 
09:38:27.36191 LS026 18 
09:38:27.457677 M015 OFF 
09:38:28.111441 MA201 OFF 
09:38:28.987232 LS207 54 
09:38:29.004469 MA207 OFF 
09:38:32.263631 MA201 ON 
09:38:32.741725 M008 ON 
09:38:33.878164 M008 OFF 
09:38:34.113686 M002 ON 
09:38:36.256432 M002 OFF 
09:38:36.653712 MA201 OFF 
09:38:43.054069 LS207 55 
09:38:43.064019 MA207 ON 
09:38:44.191687 MA207 OFF 
09:38:45.164262 M002 ON 
09:38:46.293345 M002 OFF 
09:38:46.638043 MA207 ON 
09:38:47.763718 MA207 OFF 
09:38:49.468482 M002 ON 
09:38:50.628993 M002 OFF 
09:38:52.555016 LS204 18 
09:38:54.907643 M002 ON 
09:38:57.555236 M002 OFF 
09:38:59.208781 M002 ON 
09:39:00.363598 M002 OFF 
09:39:01.884304 M002 ON 
09:39:02.967914 M002 OFF 
09:39:11.12415 M002 ON 
09:39:16.282593 M002 OFF 
09:39:17.746598 MA207 ON 
09:39:18.893768 MA207 OFF 
09:39:41.584949 M002 ON 
09:39:42.72263 M002 OFF 
09:39:43.64271 MA207 ON 
09:39:44.760034 MA207 OFF 
09:39:45.871026 LS207 54 
09:39:45.882245 MA207 ON 
09:39:46.908827 M002 ON 
09:39:47.000569 MA201 ON 
09:39:47.030654 MA207 OFF 
09:39:47.820967 M001 ON 
09:39:48.011844 LS201 55 
09:39:48.033591 MA201 OFF 
09:39:48.540062 LS201 56 
09:39:48.56394 MA201 ON 
09:39:48.791407 M008 ON 
09:39:48.957868 M001 OFF 
09:39:49.303725 M002 OFF 
09:39:49.751631 M015 ON 
09:39:50.043984 M016 ON 
09:39:50.832978 MA201 OFF 
09:39:50.922984 M008 OFF 
09:39:51.300267 MA202 ON 
09:39:52.376633 LS015 14 
09:39:52.409127 M015 OFF 
09:39:52.478379 M016 OFF 
09:39:52.600193 M017 ON 
09:39:54.682766 M017 OFF 
09:39:56.357041 MA202 OFF 
09:39:57.163085 MA202 ON 
09:39:57.264927 LS207 55 
09:39:57.297155 MA207 ON 
09:39:57.823942 M017 ON 
09:39:58.975978 M017 OFF 
09:39:59.190781 MA207 OFF 
09:39:59.358837 MA202 OFF 
09:40:03.100272 MA207 ON 
09:40:03.468006 MA202 ON 
09:40:04.251755 LS207 54 
09:40:04.267086 MA207 OFF 
09:40:04.606124 MA202 OFF 
09:40:04.816181 LS207 55 
09:40:04.868619 MA207 ON 
09:40:05.908767 LS207 54 
09:40:05.949157 MA207 OFF 
09:40:06.302063 MA202 ON 
09:40:07.987912 MA202 OFF 
09:40:08.745316 MA207 ON 
09:40:11.362211 LS207 55 
09:40:11.379088 MA207 OFF 
09:40:11.59568 M017 ON 
09:40:11.624944 MA202 ON 
09:40:13.415167 M017 OFF 
09:40:13.611381 MA202 OFF 
09:40:13.806954 MA207 ON 
09:40:15.087811 MA207 OFF 
09:40:15.842932 LS207 54 
09:40:15.883682 MA207 ON 
09:40:21.843545 LS207 55 
09:40:21.874765 MA207 OFF 
09:40:22.238879 MA202 ON 
09:40:22.41235 M017 ON 
09:40:23.512445 M017 OFF 
09:40:24.112872 MA202 OFF 
09:40:30.669779 MA207 ON 
09:40:31.793883 MA207 OFF 
09:40:36.843869 MA202 ON 
09:40:37.622827 MA207 ON 
09:40:38.001406 MA202 OFF 
09:40:39.108346 MA202 ON 
09:40:39.311403 LS207 54 
09:40:39.327872 MA207 OFF 
09:40:39.799129 LS005 25 
09:40:40.227312 MA202 OFF 
09:40:40.677645 LS207 55 
09:40:40.698292 MA207 ON 
09:40:41.735621 LS207 54 
09:40:41.751541 MA207 OFF 
09:40:42.673207 LS207 55 
09:40:42.688929 MA207 ON 
09:40:45.473744 MA207 OFF 
09:40:50.352672 MA202 ON 
09:40:51.488836 MA202 OFF 
09:41:01.048891 MA202 ON 
09:41:02.889903 MA202 OFF 
09:41:07.11644 LS206 12 
09:41:09.419101 LS048 11 
09:41:11.350705 M017 ON 
09:41:11.917395 MA207 ON 
09:41:12.46893 M017 OFF 
09:41:13.800698 MA207 OFF 
09:41:31.799531 MA207 ON 
09:41:33.469445 LS207 54 
09:41:33.498811 MA207 OFF 
09:41:37.774756 LS207 55 
09:41:37.81728 MA207 ON 
09:41:38.89345 MA207 OFF 
09:41:42.107046 MA207 ON 
09:41:43.821213 M017 ON 
09:41:43.852344 MA207 OFF 
09:41:43.976438 MA202 ON 
09:41:44.901245 M017 OFF 
09:41:45.104039 MA202 OFF 
09:41:45.665999 M017 ON 
09:41:46.776491 M017 OFF 
09:41:54.679915 MA207 ON 
09:41:55.809422 MA207 OFF 
09:42:08.547312 MA207 ON 
09:42:09.679925 MA207 OFF 
09:42:15.10553 LS207 54 
09:42:15.119875 MA207 ON 
09:42:16.794002 M017 ON 
09:42:16.843063 LS207 55 
09:42:16.855999 MA207 OFF 
09:42:17.393807 MA207 ON 
09:42:18.503001 MA207 OFF 
09:42:18.84213 M017 OFF 
09:42:19.033108 MA202 ON 
09:42:19.625221 LS009 5 
09:42:19.783485 MA207 ON 
09:42:20.948033 MA207 OFF 
09:42:21.281473 M017 ON 
09:42:21.343442 MA202 OFF 
09:42:22.762723 MA202 ON 
09:42:22.959975 M017 OFF 
09:42:24.108307 M017 ON 
09:42:25.205236 M017 OFF 
09:42:25.769941 M017 ON 
09:42:26.14132 MA202 OFF 
09:42:26.906679 M017 OFF 
09:42:28.397355 MA202 ON 
09:42:33.264117 M017 ON 
09:42:34.660667 M016 ON 
09:42:35.021622 SS004 MOVED 
09:42:35.112504 M015 ON 
09:42:35.559649 LS202 55 
09:42:35.59421 MA202 OFF 
09:42:35.639033 MA207 ON 
09:42:35.705884 LS017 26 
09:42:35.719039 M017 OFF 
09:42:35.989216 LS201 55 
09:42:36.013021 MA201 ON 
09:42:36.093943 LS008 13 
09:42:36.112983 M008 ON 
